opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,sector,year_established,revenue,employees,office_location,subsidiary_of,series,sales_price,manager,regional_office,cycle_time,revenue_log,employees_log,Target,Score_Risco
EMUA57Q2,Versie Hillebrand,MG Special,Condax,Won,2017-03-02,2017-05-12,54.0,medical,2017.0,4.54,9.0,United States,,MG,55.0,Dustin Brinkmann,Central,71,1.7119945007591924,2.302585092994046,1,38
99HAV7SY,Cecily Lampkin,GTX Plus Pro,Hottechi,Lost,2017-10-26,2017-11-24,0.0,technolgy,1997.0,8170.38,16499.0,Korea,,GTX,5482.0,Dustin Brinkmann,Central,29,9.008393084238966,9.711115659888671,0,40
76WXMI88,Moses Frase,MG Special,Stanredtax,Won,2017-10-05,2017-12-28,50.0,finance,1987.0,1698.2,3798.0,United States,,MG,55.0,Dustin Brinkmann,Central,84,7.43791283104762,8.242493153187626,1,41
X58FLJ8K,James Ascencio,GTX Plus Pro,Lexiqvolax,Won,2017-05-24,2017-09-18,5190.0,medical,2004.0,1618.89,3889.0,United States,,GTX,5482.0,Summer Sewald,West,117,7.390113524686469,8.266164436612492,1,32
L11T0DYF,Vicki Laflamme,MG Advanced,Faxquote,Won,2017-11-21,2017-12-01,2590.0,telecommunications,1995.0,1825.82,5595.0,United States,Sonron,MG,3393.0,Celia Rouche,West,10,7.510332029356891,8.629807335785372,1,53
B24YQ6LA,Garret Kinder,GTX Basic,Zotware,Won,2017-10-09,2017-10-10,552.0,software,1979.0,4478.47,13809.0,United States,,GTX,550.0,Cara Losch,East,1,8.407260014839183,9.533148246403337,1,58
2F0RUQ0B,Donn Cantrell,GTXPro,Zotware,Won,2017-06-09,2017-08-02,4517.0,software,1979.0,4478.47,13809.0,United States,,,,Rocco Neubert,East,54,8.407260014839183,9.533148246403337,1,47
I3RW4OMF,Cecily Lampkin,GTX Basic,Bioholding,Won,2017-05-29,2017-08-29,611.0,medical,2012.0,587.34,1356.0,Philipines,,GTX,550.0,Dustin Brinkmann,Central,92,6.377305012079846,7.213031659834869,1,40
CPJK2600,Versie Hillebrand,MG Special,Statholdings,Lost,2017-04-12,2017-04-19,0.0,employment,1997.0,291.27,586.0,United States,,MG,55.0,Dustin Brinkmann,Central,7,5.677678032570093,6.375024819828097,0,53
6BATTRKM,Lajuana Vencill,GTX Basic,Finhigh,Lost,2017-09-30,2017-10-07,0.0,finance,2006.0,1102.43,1759.0,United States,,GTX,550.0,Dustin Brinkmann,Central,7,7.00617878915823,7.473069088032197,0,63
S767XDO3,Elease Gluck,MG Advanced,Hatfan,Lost,2017-07-07,2017-09-07,0.0,services,1982.0,792.46,1299.0,United States,,MG,3393.0,Celia Rouche,West,62,6.676403129118039,7.170119543449628,0,45
5OVTFUNQ,Darcel Schlecht,GTXPro,Cancity,Lost,2017-03-27,2017-04-05,0.0,retail,2001.0,718.62,2448.0,United States,,,,Melvin Marxen,Central,9,6.578723294908609,7.803435056952168,0,50
RZYCBSQN,Anna Snelling,GTX Plus Basic,Condax,Lost,2017-07-22,2017-07-29,0.0,medical,2017.0,4.54,9.0,United States,,GTX,1096.0,Dustin Brinkmann,Central,7,1.7119945007591924,2.302585092994046,0,58
M9N3HWGC,James Ascencio,GTX Basic,Zoomit,Lost,2017-08-24,2017-12-24,0.0,entertainment,1992.0,324.19,978.0,United States,,GTX,550.0,Summer Sewald,West,122,5.7844096268933525,6.88653164253051,0,30
XZ9YR78K,Gladys Colclough,GTX Plus Basic,Hottechi,Won,2017-12-11,2017-12-18,1220.0,technolgy,1997.0,8170.38,16499.0,Korea,,GTX,1096.0,Melvin Marxen,Central,7,9.008393084238966,9.711115659888671,1,60
7A4AC5BC,Versie Hillebrand,MG Advanced,Ron-tech,Won,2017-01-30,2017-06-04,3642.0,medical,1992.0,3922.42,6837.0,United States,,MG,3393.0,Dustin Brinkmann,Central,125,8.274719001401705,8.830250570199247,1,35
MUIT1E0M,Kami Bicknell,GTXPro,Kan-code,Won,2017-06-09,2017-06-19,5339.0,software,1982.0,11698.03,34288.0,United States,,,,Summer Sewald,West,10,9.367261211366051,10.442579882010428,1,50
NUA0OE6Z,Markita Hansen,GTX Basic,Goodsilron,Won,2017-04-04,2017-06-03,605.0,marketing,2000.0,2952.73,5107.0,United States,,GTX,550.0,Celia Rouche,West,60,7.990824057424448,8.53856321715243,1,47
RYJPSM6D,Jonathan Berthelot,GTX Basic,Stanredtax,Lost,2017-09-16,2017-11-19,0.0,finance,1987.0,1698.2,3798.0,United States,,GTX,550.0,Melvin Marxen,Central,64,7.43791283104762,8.242493153187626,0,44
84QGC91P,Maureen Marcano,MG Special,Singletechno,Won,2017-06-02,2017-08-17,54.0,retail,1996.0,2214.94,5374.0,United States,,MG,55.0,Summer Sewald,West,76,7.703431971688343,8.589513852995864,1,42
VO8TFB31,Maureen Marcano,GTX Basic,Cheers,Lost,2017-03-11,2017-06-26,0.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,GTX,550.0,Summer Sewald,West,107,8.35957985684692,8.77539495854551,0,35
988QUSNK,Cecily Lampkin,MG Advanced,Scottech,Lost,2017-10-02,2017-10-03,0.0,marketing,2012.0,45.39,100.0,United States,Inity,MG,3393.0,Dustin Brinkmann,Central,1,3.8370839187636525,4.61512051684126,0,53
PV1DISEC,Zane Levy,GTX Plus Pro,Hottechi,Won,2017-01-26,2017-03-16,6101.0,technolgy,1997.0,8170.38,16499.0,Korea,,GTX,5482.0,Summer Sewald,West,49,9.008393084238966,9.711115659888671,1,46
58TUIJ6D,Zane Levy,GTXPro,Cheers,Lost,2017-07-05,2017-07-17,0.0,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,,,Summer Sewald,West,12,8.35957985684692,8.77539495854551,0,62
8U59BH8O,Kary Hendrixson,GTX Basic,Faxquote,Lost,2017-10-16,2017-10-26,0.0,telecommunications,1995.0,1825.82,5595.0,United States,Sonron,GTX,550.0,Summer Sewald,West,10,7.510332029356891,8.629807335785372,0,52
W4K39GNG,Zane Levy,GTX Basic,Scotfind,Lost,2017-02-01,2017-03-29,0.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,550.0,Summer Sewald,West,56,8.757134074332273,9.728002573001161,0,46
AALARPLH,Vicki Laflamme,MG Advanced,Goodsilron,Won,2017-01-29,2017-03-13,2970.0,marketing,2000.0,2952.73,5107.0,United States,,MG,3393.0,Celia Rouche,West,43,7.990824057424448,8.53856321715243,1,45
0TEEJ0WD,Donn Cantrell,GTX Plus Basic,Opentech,Lost,2017-11-11,2017-11-18,0.0,finance,1994.0,355.23,853.0,United States,,GTX,1096.0,Rocco Neubert,East,7,5.875576589656054,6.74993119378857,0,61
IHBYI8IO,Kami Bicknell,MG Advanced,Groovestreet,Won,2017-10-18,2017-10-24,3536.0,retail,2003.0,223.8,299.0,United States,,MG,3393.0,Summer Sewald,West,6,5.415211118019536,5.703782474656201,1,59
MXTAIS4Q,Wilburn Farren,MG Advanced,Iselectrics,Won,2017-03-01,2017-06-09,3783.0,technolgy,2011.0,527.11,1428.0,United States,Acme Corporation,MG,3393.0,Cara Losch,East,100,6.26930459534122,7.264730177929867,1,41
84SZ58S9,Daniell Hammack,GTX Plus Basic,Iselectrics,Won,2017-09-27,2017-10-04,1225.0,technolgy,2011.0,527.11,1428.0,United States,Acme Corporation,GTX,1096.0,Rocco Neubert,East,7,6.26930459534122,7.264730177929867,1,57
4UTOXXV4,James Ascencio,GTX Plus Pro,Golddex,Lost,2017-07-11,2017-07-12,0.0,finance,2008.0,52.5,165.0,United States,,GTX,5482.0,Summer Sewald,West,1,3.979681653901961,5.111987788356544,0,55
RQXFD7FW,Zane Levy,GTXPro,Sonron,Won,2017-06-19,2017-09-08,4428.0,telecommunications,1999.0,1699.85,5108.0,United States,,,,Summer Sewald,West,81,7.438883405085958,8.538758969330798,1,48
02TUKBP3,Moses Frase,MG Special,Zumgoity,Lost,2017-09-25,2017-11-30,0.0,medical,1984.0,441.08,1210.0,United States,,MG,55.0,Dustin Brinkmann,Central,66,6.091490861175107,7.099201743553092,0,42
A7YPY8KI,Elease Gluck,MG Special,Fasehatice,Won,2017-08-12,2017-08-21,53.0,retail,1990.0,4968.91,7523.0,United States,,MG,55.0,Celia Rouche,West,9,8.511157010274799,8.925853190420922,1,49
0TICPBMF,Gladys Colclough,GTX Plus Basic,Conecom,Won,2017-09-23,2017-09-27,1047.0,technolgy,2005.0,1520.66,1806.0,United States,,GTX,1096.0,Melvin Marxen,Central,4,7.3275571231903545,7.499423290592229,1,61
Z1NWKS9A,Vicki Laflamme,MG Special,Finjob,Lost,2017-06-29,2017-07-05,0.0,employment,1988.0,2059.9,3644.0,United States,,MG,55.0,Celia Rouche,West,6,7.630898059577463,8.201111644442758,0,56
GGPSSI5Q,Daniell Hammack,MG Advanced,Ganjaflex,Won,2017-03-20,2017-06-02,3780.0,retail,1995.0,5158.71,17479.0,Japan,,MG,3393.0,Rocco Neubert,East,74,8.548635655345855,9.768812649209526,1,48
OJSYLHMZ,Vicki Laflamme,GTX Basic,Zoomit,Won,2017-04-05,2017-06-28,550.0,entertainment,1992.0,324.19,978.0,United States,,GTX,550.0,Celia Rouche,West,84,5.7844096268933525,6.88653164253051,1,42
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0.0,finance,1993.0,7537.24,20293.0,United States,,GTX,1096.0,Celia Rouche,West,96,8.927744012004242,9.918080554839028,0,45
KTHAX2XV,Darcel Schlecht,GTXPro,Isdom,Lost,2017-09-30,2017-10-05,0.0,medical,2002.0,3178.24,4540.0,United States,,,,Melvin Marxen,Central,5,8.064397453499982,8.420902531097951,0,58
9XGT3451,Lajuana Vencill,GTX Basic,Rangreen,Won,2017-05-31,2017-08-02,505.0,technolgy,1987.0,2938.67,8775.0,Panama,,GTX,550.0,Dustin Brinkmann,Central,63,7.9860526091348385,9.079776001955066,1,47
NR9UD54C,Versie Hillebrand,MG Special,Warephase,Won,2017-09-10,2017-11-27,50.0,services,1997.0,2041.73,5276.0,United States,,MG,55.0,Dustin Brinkmann,Central,78,7.622042427493597,8.571113033405668,1,41
Y975VCYM,Reed Clapper,MG Special,Massive Dynamic,Lost,2017-03-31,2017-04-12,0.0,entertainment,1989.0,665.06,1095.0,United States,,MG,55.0,Rocco Neubert,East,12,6.501379756572611,6.999422467507961,0,58
5S2JLJGL,Jonathan Berthelot,GTX Plus Basic,Funholding,Lost,2017-11-18,2017-11-30,0.0,finance,1991.0,2819.5,7227.0,United States,Golddex,GTX,1096.0,Melvin Marxen,Central,12,7.944669453180031,8.885717651712119,0,64
DGIYD342,Elease Gluck,GTX Plus Pro,Hottechi,Lost,2017-03-01,2017-05-10,0.0,technolgy,1997.0,8170.38,16499.0,Korea,,GTX,5482.0,Celia Rouche,West,70,9.008393084238966,9.711115659888671,0,44
ZK6HTTBB,Markita Hansen,MG Special,Labdrill,Lost,2017-10-08,2017-10-14,0.0,medical,1985.0,2741.37,9226.0,United States,,MG,55.0,Celia Rouche,West,6,7.916577789020406,9.129889247578555,0,64
BG2656VA,Corliss Cosme,GTX Plus Pro,Konex,Won,2017-04-07,2017-04-15,5684.0,technolgy,1980.0,7708.38,13756.0,United States,,GTX,5482.0,Cara Losch,East,8,8.950193048278516,9.529303064460995,1,53
K9D4DQ3R,Rosie Papadopoulos,MG Special,Vehement Capital Partners,Won,2016-12-17,2017-03-02,48.0,finance,1993.0,646.1,883.0,United States,Golddex,MG,55.0,Cara Losch,East,75,6.47250084206322,6.784457062637643,1,45
83HX5CIJ,Kami Bicknell,GTX Basic,Sonron,Lost,2017-03-20,2017-03-23,0.0,telecommunications,1999.0,1699.85,5108.0,United States,,GTX,550.0,Summer Sewald,West,3,7.438883405085958,8.538758969330798,0,58
CWVAO587,Garret Kinder,GTX Basic,Ontomedia,Lost,2017-10-19,2017-10-26,0.0,employment,1997.0,882.12,2769.0,United States,,GTX,550.0,Cara Losch,East,7,6.783461091710096,7.926602599181384,0,58
SGYL0QMJ,Zane Levy,GTXPro,Plexzap,Lost,2017-08-05,2017-11-07,0.0,retail,2001.0,2437.85,4874.0,United States,,,,Summer Sewald,West,94,7.799281895709674,8.491875383431948,0,47
INAEAAI9,Jonathan Berthelot,GTX Plus Basic,Codehow,Won,2017-05-07,2017-09-02,1093.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,GTX,1096.0,Melvin Marxen,Central,118,7.9068786691495045,7.879291485082271,1,41
EYWL3H5G,Rosalina Dieter,GTX Plus Pro,Newex,Lost,2017-07-27,2017-07-28,0.0,services,1991.0,1012.72,3492.0,Germany,,GTX,5482.0,Celia Rouche,West,1,6.921382011896794,8.158516244806831,0,55
7PMUB7T4,Darcel Schlecht,GTXPro,Bioholding,Lost,2017-09-30,2017-10-12,0.0,medical,2012.0,587.34,1356.0,Philipines,,,,Melvin Marxen,Central,12,6.377305012079846,7.213031659834869,0,63
4Q2GV039,Darcel Schlecht,MG Advanced,Stanredtax,Won,2017-05-11,2017-08-24,3766.0,finance,1987.0,1698.2,3798.0,United States,,MG,3393.0,Melvin Marxen,Central,105,7.43791283104762,8.242493153187626,1,44
0GTJE2VQ,Wilburn Farren,GTX Basic,Gekko & Co,Won,2017-03-20,2017-06-14,497.0,retail,1990.0,2520.83,3502.0,United States,,GTX,550.0,Cara Losch,East,86,7.832740107432939,8.161375023197486,1,41
K6ZDH79M,Darcel Schlecht,GTXPro,Funholding,Won,2017-06-18,2017-08-16,5088.0,finance,1991.0,2819.5,7227.0,United States,Golddex,,,Melvin Marxen,Central,59,7.944669453180031,8.885717651712119,1,44
U008ILBM,Zane Levy,GTX Plus Basic,Plusstrip,Lost,2017-09-16,2017-11-26,0.0,entertainment,2002.0,349.81,315.0,United States,,GTX,1096.0,Summer Sewald,West,71,5.860244766363111,5.755742213586912,0,45
LXXW3TRW,Elease Gluck,GTX Plus Basic,Scotfind,Won,2016-12-19,2017-03-18,1164.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,1096.0,Celia Rouche,West,89,8.757134074332273,9.728002573001161,1,44
QWR1O5R9,Donn Cantrell,MG Advanced,Mathtouch,Lost,2017-05-13,2017-05-17,0.0,marketing,1984.0,3027.46,9516.0,Jordan,,MG,3393.0,Rocco Neubert,East,4,8.015809518475102,9.160834952072344,0,63
VN0XOAB6,Cassey Cress,MG Advanced,Bubba Gump,Won,2017-10-06,2017-11-12,3333.0,software,2002.0,987.39,2253.0,United States,,MG,3393.0,Rocco Neubert,East,37,6.896077356701882,7.720461694599722,1,45
RMUIMYJU,Boris Faz,GTX Plus Pro,Acme Corporation,Lost,2017-08-18,2017-08-26,0.0,technolgy,1996.0,1100.04,2822.0,United States,,GTX,5482.0,Rocco Neubert,East,8,7.004010466671277,7.945555428253489,0,53
U3UT9B1U,Violet Mclelland,MG Special,Silis,Won,2017-09-30,2017-12-24,55.0,medical,1994.0,2818.38,6290.0,United States,,MG,55.0,Cara Losch,East,85,7.944272281603784,8.74687531957003,1,43
K0HLZM4Q,Jonathan Berthelot,GTX Basic,Stanredtax,Lost,2017-06-18,2017-08-21,0.0,finance,1987.0,1698.2,3798.0,United States,,GTX,550.0,Melvin Marxen,Central,64,7.43791283104762,8.242493153187626,0,44
K0YFUK4X,Kami Bicknell,GTX Basic,Scotfind,Won,2017-10-12,2017-11-02,549.0,software,1996.0,6354.87,16780.0,United States,Bubba Gump,GTX,550.0,Summer Sewald,West,21,8.757134074332273,9.728002573001161,1,43
ANZJNT1Q,Darcel Schlecht,GTX Plus Basic,Rundofase,Won,2017-08-15,2017-08-25,1104.0,technolgy,1983.0,1008.06,1238.0,United States,,GTX,1096.0,Melvin Marxen,Central,10,6.916774483402297,7.122059881629142,1,52
A5IABHP1,Boris Faz,GTXPro,Bioplex,Won,2017-10-27,2017-10-28,5275.0,medical,1991.0,326.82,1016.0,United States,,,,Rocco Neubert,East,1,5.792464677261214,6.92461239604856,1,55
Q2GK9IT2,Boris Faz,GTXPro,Yearin,Lost,2017-09-21,2017-12-02,0.0,retail,2005.0,2261.05,3851.0,United States,,,,Rocco Neubert,East,72,7.724026760764218,8.256347772918016,0,42
88PIK8A6,Violet Mclelland,MG Special,Kinnamplus,Lost,2017-09-29,2017-10-08,0.0,retail,2004.0,702.72,1831.0,United States,,MG,55.0,Cara Losch,East,9,6.556380549770846,7.513163545234075,0,49
38EYB40T,Jonathan Berthelot,MG Special,Conecom,Won,2017-05-03,2017-05-14,60.0,technolgy,2005.0,1520.66,1806.0,United States,,MG,55.0,Melvin Marxen,Central,11,7.3275571231903545,7.499423290592229,1,50
PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,2016-12-11,2017-03-11,1043.0,retail,2009.0,497.11,1588.0,United States,,GTX,1096.0,Celia Rouche,West,90,6.210820936167614,7.370860166536716,1,48
AAYV8GV4,Anna Snelling,MG Advanced,Inity,Lost,2017-01-23,2017-05-05,0.0,marketing,1986.0,2403.58,8801.0,United States,,MG,3393.0,Dustin Brinkmann,Central,102,7.785130531114553,9.082734247371036,0,46
VMIMPP6H,Daniell Hammack,GTX Plus Basic,Umbrella Corporation,Won,2017-06-22,2017-09-11,1078.0,finance,1998.0,2022.14,5113.0,United States,,GTX,1096.0,Rocco Neubert,East,81,7.6124060389254975,8.539737155851132,1,48
NF6GCTMV,Daniell Hammack,MG Advanced,Ganjaflex,Lost,2017-01-03,2017-03-22,0.0,retail,1995.0,5158.71,17479.0,Japan,,MG,3393.0,Rocco Neubert,East,78,8.548635655345855,9.768812649209526,0,48
RU3OP2BA,Zane Levy,MG Advanced,J-Texon,Won,2017-04-09,2017-06-26,3070.0,retail,1989.0,1388.67,3583.0,United States,,MG,3393.0,Summer Sewald,West,78,7.2368215878665625,8.18423477409482,1,48
UKJO54QY,Donn Cantrell,GTXPro,Donquadtech,Won,2017-09-03,2017-09-13,5626.0,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,,,Rocco Neubert,East,10,7.446398383944561,8.069342366811636,1,55
HRV9DSYF,Vicki Laflamme,GTX Basic,Blackzim,Won,2017-03-25,2017-04-03,545.0,retail,2009.0,497.11,1588.0,United States,,GTX,550.0,Celia Rouche,West,9,6.210820936167614,7.370860166536716,1,50
42YPT5L7,Versie Hillebrand,MG Advanced,Ron-tech,Won,2017-06-27,2017-07-04,3548.0,medical,1992.0,3922.42,6837.0,United States,,MG,3393.0,Dustin Brinkmann,Central,7,8.274719001401705,8.830250570199247,1,57
ABMVTEUH,Cassey Cress,MG Advanced,The New York Inquirer,Lost,2017-10-18,2017-10-19,0.0,medical,1996.0,439.21,792.0,United States,,MG,3393.0,Rocco Neubert,East,1,6.0872518857811775,6.675823221634848,0,59
GO7UM9AV,Boris Faz,GTX Basic,Plussunin,Lost,2017-04-17,2017-04-19,0.0,retail,2003.0,1419.98,4018.0,United States,,GTX,550.0,Rocco Neubert,East,2,7.259102053402697,8.2987883944492,0,58
9EGAFG1B,Cassey Cress,GTXPro,Kinnamplus,Lost,2017-04-22,2017-05-08,0.0,retail,2004.0,702.72,1831.0,United States,,,,Rocco Neubert,East,16,6.556380549770846,7.513163545234075,0,46
